Name,Glyph,Character,Filled?,Small?,Filled+Small?,Unicode,Aliases,Aliases (zh),Category,Tags
grinning-face-with-big-eyes,smilingFaceWithOpenMouth,😃,,,,U+1F603,,,face,
grinning-face-with-smiling-eyes,smilingFaceWithOpenMouthAndSmilingEyes,😄,,,,U+1F604,,,face,
grinning-face-with-sweat,smilingFaceWithOpenMouthAndColdSweat,😅,,,,U+1F605,,,face,
face-with-tears-of-joy,faceWithTearsOfJoy,😂,,,,U+1F602,,,face,
slightly-smiling-face,slightlySmilingFace,🙂,x,x,x,U+1F642,,,face,
upside-down-face,upsideDownFace,🙃,x,x,x,U+1F643,,,face,
melting-face,u1FAE0,🫠,,,,U+1FAE0,,,face,
winking-face,winkingFace,😉,,,,U+1F609,,,face,
smiling-face-with-heart-eyes,smilingFaceWithHeartShapedEyes,😍,,,,U+1F60D,,,face,
star-struck,grinningFaceWithStarEyes,🤩,,,,U+1F929,,,face,
face-blowing-a-kiss,faceThrowingAKiss,😘,,,,U+1F618,,,face,
face-savoring-food,faceSavouringDeliciousFood,😋,,,,U+1F60B,,,face,
zany-face,grinningfacewithonelargeandoneeye,🤪,,,,U+1F92A,,,face,
squinting-face-with-tongue,faceWithStuckOutTongueAndTightlyClosedEyes,😝,,,,U+1F61D,,,face,
money-mouth-face,moneyMouthFace,🤑,,,,U+1F911,,,face,
thinking-face,thinkingFace,🤔,,,,U+1F914,,,face,
bye-face,byeFace,,,,,,,,face,
palm-face,palmFace,,,,,,,,face,
peek-face,peekFace,,,,,,,,face,
thumb-up-face,thumbUpFace,,,,,,,,face,
zipper-mouth-face,zipperMouthFace,🤐,,,,U+1F910,,,face,
neutral-face,neutralFace,😐,,,,U+1F610,,,face,
expressionless-face,expressionlessFace,😑,,,,U+1F611,,,face,
dotted-line-face,u1FAE5,🫥,,x,,U+1FAE5,,,face,
smirking-face,smirkingFace,😏,,,,U+1F60F,,,face,
face-squint-smile,squintSmilingFace,,,x,,,,,face,
face-exhaling,faceWithOpenMouth_zerowidthjoiner_dashSymbol,😮‍💨,,,,U+1F62E U+200D U+1F4A8,,,face,
question-face,questionFace,,,,,,,,face,
question-large-face,largeQuestionFace,,,,,,,,face,
eating-melon,faceEatingMelon,,,,,,,,face,
sleeping-face,sleepingFace,😴,,,,U+1F634,,,face,
face-with-medical-mask,faceWithMedicalMask,😷,,,,U+1F637,,,face,
face-with-head-bandage,faceWithHeadBandage,🤕,,,,U+1F915,,,face,
face-vomiting,faceWithOpenMouthVomiting,🤮,,,,U+1F92E,,,face,
face-with-crossed-out-eyes,dizzyFace,😵,,,,U+1F635,,,face,
exploding-head,shockedFaceWithExplodingHead,🤯,,,,U+1F92F,,,face,
face-split,faceSplit,,,,,,,,face,
partying-face,faceWithPartyHornAndPartyHat,🥳,,,,U+1F973,,,face,
nerd-face,nerdFace,🤓,,,,U+1F913,,,face,
face-with-diagonal-mouth,u1FAE4,🫤,,,,U+1FAE4,,,face,
slightly-frowning-face,slightlyFrowningFace,🙁,x,x,x,U+1F641,,,face,
astonished-face,astonishedFace,😲,,,,U+1F632,,,face,
pleading-face,faceWithPleadingEyes,🥺,,,,U+1F97A,,,face,
loudly-crying-face,loudlyCryingFace,😭,,,,U+1F62D,,,face,
face-screaming-in-fear,faceScreamingInFear,😱,,,,U+1F631,,,face,
downcast-face-with-sweat,faceWithColdSweat,😓,,,,U+1F613,,,face,
cursing-face,cursingFace,,,,,,,,face,
skull,skull,💀,,,,U+1F480,,,face,
pile-of-poo,pileOfPoo,💩,,,,U+1F4A9,,,face,
ghost,ghost,👻,,,,U+1F47B,,,face,
alien,extraterrestrialAlien,👽,,,,U+1F47D,,,face,
alien-monster,alienMonster,👾,,x,,U+1F47E,,,face,
robot,robotFace,🤖,,,,U+1F916,,,face,
robot-alt,robot,,x,,,,,,face,
doge,doge,,,x,,,,,face,
raised-back-of-hand,raisedBackOfHand,🤚,,x,,U+1F91A,,,hand,
raised-hand,raisedHand,✋,,x,,U+270B,,,hand,
ok-hand,okHandSign,👌,,x,,U+1F44C,,,hand,
victory-hand,victoryHand,✌,,,,U+270C,,,hand,
backhand-index-pointing-left,whiteLeftBackhandIndex,👈,,,,U+1F448,,,hand,
backhand-index-pointing-right,whiteRightBackhandIndex,👉,,,,U+1F449,,,hand,
backhand-index-pointing-up,whiteUpBackhandIndex,👆,,,,U+1F446,,,hand,
backhand-index-pointing-down,whiteDownBackhandIndex,👇,,,,U+1F447,,,hand,
thumbs-up,thumbsUpSign,👍,x,,,U+1F44D,,,hand,
oncoming-fist,fistedHandSign,👊,,,,U+1F44A,,,hand,
clapping-hands,clappingHandsSign,👏,,,,U+1F44F,,,hand,
handshake,handshake,🤝,,,,U+1F91D,,,hand,
folded-hands,personWithFoldedHands,🙏,x,,,U+1F64F,,,hand,
fist-palm-salute,fistPalmSalute,,,,,,,,hand,
writing-hand,writingHand,✍,,,,U+270D,,,hand,
eye,eye,👁,,x,,U+1F441,,,body,
mouth,mouth,👄,,,,U+1F444,,,body,
boy,boy,👦,x,x,x,U+1F466,,,person,
girl,girl,👧,x,x,x,U+1F467,,,person,
person,adult,🧑,x,x,x,U+1F9D1,,,person,
person-gesturing-no,faceWithNoGoodGesture,🙅,,,,U+1F645,,,person,
person-gesturing-ok,faceWithOkGesture,🙆,,,,U+1F646,,,person,
person-tipping-hand,informationDeskPerson,💁,,,,U+1F481,,,person,
person-raising-hand,happyPersonRaisingOneHand,🙋,,,,U+1F64B,,,person,
person-shrugging,shrug,🤷,,,,U+1F937,,,person,
dog-face,dogFace,🐶,,,,U+1F436,,,animal,
cat-face,catFace,🐱,,x,,U+1F431,,,animal,
tiger-face,tigerFace,🐯,,,,U+1F42F,,,animal,
horse-face,horseFace,🐴,,,,U+1F434,,,animal,
cow-face,cowFace,🐮,,,,U+1F42E,,,animal,
pig-face,pigFace,🐷,,,,U+1F437,,,animal,
rabbit-face,rabbitFace,🐰,,,,U+1F430,,,animal,
bird,bird,🐦,x,,,U+1F426,,,animal,
swan,swan,🦢,,,,U+1F9A2,,,animal,
java-sparrow-white,javaSparrowWhite,,,,,,,,animal,
java-sparrow-silver,javaSparrowSilver,,,,,,,,animal,
frog,frogFace,🐸,,,,U+1F438,,,animal,
turtle,turtle,🐢,,,,U+1F422,,,animal,
dragon-face,dragonFace,🐲,,,,U+1F432,,,animal,
t-rex,tRex,🦖,x,x,x,U+1F996,,,animal,
spouting-whale,spoutingWhale,🐳,,,,U+1F433,,,animal,
fish,fish,🐟,,,,U+1F41F,,,animal,
shark,shark,🦈,,,,U+1F988,,,animal,
octopus,octopus,🐙,,,,U+1F419,,,animal,
crab,crab,🦀,,,,U+1F980,,,animal,
bug,bug,🐛,,,,U+1F41B,,,animal,
spider,spider,🕷,,,,U+1F577,,,animal,
microbe,microbe,🦠,,,,U+1F9A0,,,animal,
cherry-blossom,cherryBlossom,🌸,,,,U+1F338,,,plant,
rose,rose,🌹,,,,U+1F339,,,plant,
wilted-flower,wiltedFlower,🥀,,,,U+1F940,,,plant,
hibiscus,hibiscus,🌺,,,,U+1F33A,,,plant,
sunflower,sunflower,🌻,,,,U+1F33B,,,plant,
seedling,seedling,🌱,,,,U+1F331,,,plant,
potted-plant,pottedPlant,🪴,,,,U+1FAB4,,,plant,
evergreen-tree,evergreenTree,🌲,,,,U+1F332,,,plant,
deciduous-tree,deciduousTree,🌳,,,,U+1F333,,,plant,
palm-tree,palmTree,🌴,,,,U+1F334,,,plant,
herb,herb,🌿,,,,U+1F33F,,,plant,
shamrock,shamrock,☘,,,,U+2618,,,plant,
four-leaf-clover,fourLeafClover,🍀,,,,U+1F340,,,plant,
grapes,grapes,🍇,,,,U+1F347,,,fruit,
watermelon,watermelon,🍉,,,,U+1F349,,,fruit,
tangerine,tangerine,🍊,,,,U+1F34A,,,fruit,
lemon,lemon,🍋,,,,U+1F34B,,,fruit,
banana,banana,🍌,,,,U+1F34C,,,fruit,
pineapple,pineapple,🍍,,,,U+1F34D,,,fruit,
mango,mango,🥭,,,,U+1F96D,,,fruit,
red-apple,redApple,🍎,,x,,U+1F34E,,,fruit,
pear,pear,🍐,,,,U+1F350,,,fruit,
peach,peach,🍑,,,,U+1F351,,,fruit,
cherries,cherries,🍒,x,x,,U+1F352,,,fruit,
strawberry,strawberry,🍓,,,,U+1F353,,,fruit,
tomato,tomato,🍅,,,,U+1F345,,,fruit,
coconut,coconut,🥥,,,,U+1F965,,,fruit,
carrot,carrot,🥕,,,,U+1F955,,,vegetable,
leafy-green,leafyGreen,🥬,,,,U+1F96C,,,vegetable,
onion,onion,🧅,,,,U+1F9C5,,,vegetable,
mushroom,mushroom,🍄,,,,U+1F344,,,vegetable,
chestnut,chestnut,🌰,,,,U+1F330,,,vegetable,
bread,bread,🍞,,,,U+1F35E,,,food,
poultry-leg,poultryLeg,🍗,x,,,U+1F357,,,food,
hamburger,hamburger,🍔,,x,,U+1F354,,,food,
pizza,sliceOfPizza,🍕,,,,U+1F355,,,food,
sandwich,sandwich,🥪,,,,U+1F96A,,,food,
cooked-rice,cookedRice,🍚,,,,U+1F35A,,,food,
steaming-bowl,steamingBowl,🍜,,,,U+1F35C,,,food,
roasted-sweet-potato,roastedSweetPotato,🍠,,,,U+1F331,,,food,
soft-ice-cream,softIceCream,🍦,,,,U+1F366,,,food,
cookie,cookie,🍪,x,,,U+1F36A,,,food,
birthday-cake,birthdayCake,🎂,,,,U+1F382,,,food,
shortcake,shortcake,🍰,,,,U+1F370,,,food,
hot-beverage,hotBeverage,☕,,,,U+2615,,,food,
wine-glass,wineGlass,🍷,x,,,U+1F377,,,food,
beer-mug,beerMug,🍺,,,,U+1F37A,,,food,
cup-with-straw,cupWithStraw,🥤,x,,,U+1F964,,,food,
milk-package,milkPackage,,,x,,,,,food,
fork-and-knife,forkAndKnife,🍴,,,,U+1F374,,,food,
fork,fork,,,,,,,,food,
kitchen-knife,hocho,🔪,x,x,x,U+1F52A,,,food,
jar,u1FAD9,🫙,,,,U+1FAD9,,,food,
globe-showing-asia-australia,earthGlobeAsiaAustralia,🌏,,,,U+1F30F,,,place,
globe-with-meridians,globeMeridians,🌐,,x,,U+1F310,,,place,
snow-capped-mountain,snowCappedMountain,🏔,,,,U+1F3D4,,,place,
mountain,mountain,⛰,,,,U+26F0,,,place,
volcano,volcano,🌋,,,,U+1F30B,,,place,
desert-island,desertIsland,🏝,,,,U+1F3DD,,,place,
building-construction,buildingConstruction,🏗,,,,U+1F3D7,,,place,
houses,houseBuildings,🏘,,x,,U+1F3D8,,,place,
house,houseBuilding,🏠,,x,,U+1F3E0,,,place,
factory,factory,🏭,,x,,U+1F3ED,,,place,
shinto-shrine,shintoShrine,⛩,,,,U+26E9,,,place,
tent,tent,⛺,,,,U+26FA,,,place,
ferris-wheel,ferrisWheel,🎡,,,,U+1F3A1,,,place,
locomotive,steamLocomotive,🚂,,,,U+1F682,,,transport,
railway-car,railwayCar,🚃,,,,U+1F683,,,transport,
